sample	count (>0)	mean	median	sum	p25	p75	min	max
SRX2349199	1	136572.01122602224	136572.01122602224	136572.01122602224	136572.01122602224	136572.01122602224	136572.01122602224	136572.01122602224
SRX2349197	1	100793.10807191073	100793.10807191073	100793.10807191073	100793.10807191073	100793.10807191073	100793.10807191073	100793.10807191073
SRX546025	1	50152.88220943896	50152.88220943896	50152.88220943896	50152.88220943896	50152.88220943896	50152.88220943896	50152.88220943896
SRX546026	1	48418.90617335536	48418.90617335536	48418.90617335536	48418.90617335536	48418.90617335536	48418.90617335536	48418.90617335536
SRX546024	1	44477.45037510579	44477.45037510579	44477.45037510579	44477.45037510579	44477.45037510579	44477.45037510579	44477.45037510579
SRX1130492	1	9965.868507526859	9965.868507526859	9965.868507526859	9965.868507526859	9965.868507526859	9965.868507526859	9965.868507526859
SRX1130500	1	9190.170768279975	9190.170768279975	9190.170768279975	9190.170768279975	9190.170768279975	9190.170768279975	9190.170768279975
SRX546034	1	8664.930088923173	8664.930088923173	8664.930088923173	8664.930088923173	8664.930088923173	8664.930088923173	8664.930088923173
SRX546032	1	8504.8256002326	8504.8256002326	8504.8256002326	8504.8256002326	8504.8256002326	8504.8256002326	8504.8256002326
SRX546033	1	8307.91375878859	8307.91375878859	8307.91375878859	8307.91375878859	8307.91375878859	8307.91375878859	8307.91375878859
SRX1130491	1	5527.6560142290955	5527.6560142290955	5527.6560142290955	5527.6560142290955	5527.6560142290955	5527.6560142290955	5527.6560142290955
SRX1130505	1	5191.848041255417	5191.848041255417	5191.848041255417	5191.848041255417	5191.848041255417	5191.848041255417	5191.848041255417
SRX2349196	1	5056.384822213843	5056.384822213843	5056.384822213843	5056.384822213843	5056.384822213843	5056.384822213843	5056.384822213843
SRX666570	1	4689.957057773472	4689.957057773472	4689.957057773472	4689.957057773472	4689.957057773472	4689.957057773472	4689.957057773472
SRX1130469	1	4510.347169133026	4510.347169133026	4510.347169133026	4510.347169133026	4510.347169133026	4510.347169133026	4510.347169133026
SRX1130499	1	4322.936455221263	4322.936455221263	4322.936455221263	4322.936455221263	4322.936455221263	4322.936455221263	4322.936455221263
SRX1130459	1	4031.408335852964	4031.408335852964	4031.408335852964	4031.408335852964	4031.408335852964	4031.408335852964	4031.408335852964
SRX1130464	1	3790.3488472928475	3790.3488472928475	3790.3488472928475	3790.3488472928475	3790.3488472928475	3790.3488472928475	3790.3488472928475
SRX1130506	1	3570.034716475307	3570.034716475307	3570.034716475307	3570.034716475307	3570.034716475307	3570.034716475307	3570.034716475307
SRX1130461	1	3383.696958741261	3383.696958741261	3383.696958741261	3383.696958741261	3383.696958741261	3383.696958741261	3383.696958741261
SRX1130463	1	3350.0769568416936	3350.0769568416936	3350.0769568416936	3350.0769568416936	3350.0769568416936	3350.0769568416936	3350.0769568416936
SRX1130465	1	3312.255485151026	3312.255485151026	3312.255485151026	3312.255485151026	3312.255485151026	3312.255485151026	3312.255485151026
SRX1130490	1	3281.35394848182	3281.35394848182	3281.35394848182	3281.35394848182	3281.35394848182	3281.35394848182	3281.35394848182
SRX1130466	1	2897.9982183810425	2897.9982183810425	2897.9982183810425	2897.9982183810425	2897.9982183810425	2897.9982183810425	2897.9982183810425
