gene	SRX6979769	SRX6980254	SRX6980076	SRX6979700	SRX6979849	SRX6979661	SRX6980200	SRX6979679	SRX6979524	SRX6980147	SRX6979775	SRX6979578	SRX6980368	SRX6979685	SRX6979949	SRX6979870	SRX6979843	SRX6979613	SRX6980266	SRX6979676	SRX6979682	SRX6979625	SRX6979575	SRX6980166	SRX6980184	SRX6979584	SRX6980353	SRX6979822	SRX6980230	SRX6979721	SRX6980011	SRX6979527	SRX6979545	SRX6980335	SRX6979563	SRX6979940	SRX6979739	SRX6979873	SRX6979510	SRX6980209	SRX6979637	SRX6979593	SRX6980296	SRX6979781	SRX6980260	SRX6979542	SRX6979825	SRX6979894	SRX6980257	SRX6979581	SRX6980224	SRX6980086	SRX6979974	SRX6979757	SRX6980293	SRX6979891	SRX6980005	SRX6979706	SRX6979986	SRX6979910	SRX6979819	SRX6980218	SRX6980181	SRX6979831	SRX6979742	SRX6980112	SRX6979852	SRX6979587	SRX6979952	SRX6979907	SRX6979533	SRX6979709	SRX6979652	SRX6979801	SRX6980082	SRX6979628	SRX6979748	SRX6979733	SRX6980150	SRX6980159	SRX6979634	SRX6979608	SRX6980036	SRX6979727	SRX6979691	SRX6979816	SRX6979876	SRX6979504	SRX6980374	SRX6979885	SRX6979646	SRX6979569	SRX6979760	SRX6980079	SRX6979977	SRX6979596	SRX6979834	SRX6979649	SRX6980070	SRX6980290	SRX6979551	SRX6979619	SRX6979730	SRX6979828	SRX6979938	SRX6980380	SRX6979548	SRX6979724	SRX6980197	SRX6980389	SRX6980236	SRX6979694	SRX6979888	SRX6980178	SRX6980308	SRX6979697	SRX6979655	SRX6980162	SRX6979864	SRX6980039	SRX6979712	SRX6979783	SRX6979943	SRX6980356	SRX6979813	SRX6979667	SRX6979715	SRX6980332	SRX6979861	SRX6980017	SRX6979703	SRX6980383	SRX6979766	SRX6980104	SRX6980175	SRX6979554	SRX6979789	SRX6979786	SRX6979631	SRX6979514	SRX6980239	SRX6979855	SRX6979616	SRX6980172	SRX6979810	SRX6980305	SRX6979745	SRX6979980	SRX6980392	SRX6980073	SRX6979515	SRX6980323	SRX6979530	SRX6980350	SRX6979622	SRX6979521	SRX6979804	SRX6979837	SRX6979658	SRX6980362	SRX6979602	SRX6980263	SRX6979946	SRX6979688	SRX6979778	SRX6979560	SRX6979664	SRX6979536	SRX6979751	SRX6980110	SRX6980314	SRX6979798	SRX6979539	SRX6979921	SRX6979557	SRX6980299	SRX6979772	SRX6979983	SRX6980269	SRX6980156	SRX6979795	SRX6980359	SRX6980190	SRX6979901	SRX6979858	SRX6979867	SRX6979566	SRX6979640	SRX6979846	SRX6979605	SRX6980067	SRX6979498	SRX6979879	SRX6980227	SRX6980377	SRX6979572	SRX6980371	SRX6980287	SRX6979643	SRX6979792	SRX6979807	SRX6979718	SRX6979610	SRX6980101	SRX6979937	SRX6979590	SRX6979673	SRX6980117	SRX6979507	SRX6980187	SRX6980107	SRX6979518	SRX6979754	SRX6979599	SRX6980153	SRX6979840	SRX6980344	SRX6979501	SRX6979882	SRX6979736	SRX6980206	SRX6980221	SRX6979763
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.05595696282840512	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.05595696282840512	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.9612380746401364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.05595696282840512	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.9612380746401364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2613396721096577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.05595696282840512	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.9612380746401364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2613396721096577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.05595696282840512	0.0	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	0.9612380746401364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.06854618007561329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09509678142090378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2613396721096577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06816147507975574	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.05595696282840512	0.14537954018486754	0.21923113011893727	0.0	0.0	0.0	0.0	0.0	0.12139111793329194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992381205024043	0.0	1.4418571119602048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08966878413522483	0.0	0.052356130588755156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.06854618007561329	0.0	0.0	0.0	0.0	0.07091856060001642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04646353706556651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23376400845430914	0.0	0.0	0.19019356284180755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1885958894582913	0.0	0.0	0.0	0.0	0.0	0.0	0.2613396721096577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2085642313177547	0.0	0.0	0.0	0.14702623992006478	0.0	0.0	0.21453755839310082	0.06816147507975574	0.41872934486653524	0.0	0.0	0.0	0.0	0.0
10	0.0	0.11191392565681024	0.2907590803697351	0.21923113011893727	0.0	0.18298188003634752	0.0	0.1254313899077402	0.19594134926780638	0.12139111793329194	0.0	0.1137347053833252	0.0	0.0	0.0	0.41807877126649123	0.0	0.0	0.029972057051211157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03906181184073671	0.10166488448124171	0.0	0.0	0.0948954863815962	0.0	0.0	0.0	0.0	0.215757410997371	0.38235533370874253	0.0	0.2927928026844415	0.0	0.09929884095413873	0.055134061779259974	0.07939645041495165	0.07277100413142822	0.0	0.0	0.0	0.0	0.08502892825854236	0.07254204518803588	0.0	0.0	0.0	0.4065711658102923	0.0	0.0	0.0	0.027160306320453156	0.11627138368818293	0.0	0.1551834291409961	0.044085416729304695	0.0	0.0	0.04867724455642374	0.17984762410048086	0.0	1.4418571119602048	0.0	0.30602296029066467	0.07522031466011588	0.0	0.2628887105335037	0.0	0.0	0.0	0.0	0.15794706719936946	0.0	0.0	0.06272438079118527	0.08966878413522483	0.0	0.10471226117751031	0.0	0.0	0.4123976295054338	0.0	0.0	0.09315989755206067	0.0	0.20887187465013962	0.0	0.0	0.0	0.0	0.06854618007561329	0.0	0.0	0.07221818963875523	0.0	0.07091856060001642	0.0	0.24257731606150498	0.0	0.15987194896375798	0.0	0.0	0.0	0.0	0.18760392084690414	0.26706102678288274	0.08777399530374015	0.0	0.0	0.0	0.0	0.0	0.07139467935435792	0.04646353706556651	0.0	0.0683703650020306	0.0	0.0	0.06809308051734399	0.0	0.0	0.0	0.0	0.0	0.13772900028716498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16034596244857904	0.0	0.10276965240939853	0.0	0.13543950797535542	0.0	0.0	0.0	0.0	0.09237556560981476	0.07425304040211883	0.12465127248381747	0.0	0.5844100211357728	0.20848598416486405	0.0	0.2218924899821088	0.0	0.0	0.0	0.0	0.0	0.0	0.12930284303333092	0.0	0.08988107206187988	0.0	0.15687111155732228	0.0	0.0	0.0	0.0	0.0	0.1885958894582913	0.0	0.0	0.0	0.0	0.2344904224145643	0.2544876349547928	0.31360760653158926	0.0	0.0	0.0	0.0	0.3084401564408473	0.0	0.2624513940018309	0.0	0.0	0.1011444085246935	0.0	0.0	0.0	0.0	0.0	0.2085642313177547	0.0	0.09941375707453148	0.07866226325805249	0.6616180796402915	0.0947325392536118	0.0	0.42907511678620164	0.06816147507975574	0.41872934486653524	0.06580189812155321	0.06684106838228973	0.0	0.08375424026779915	0.0
