gene	SRX1130454	ERX3503479	SRX1130456	SRX1130465	SRX1130457	SRX3367918	SRX7649169	SRX1130492	SRX3367919	ERX3988324	ERX3988313	SRX546032	SRX1045016	SRX1130490	SRX3154231	SRX546016	ERX3988308	SRX1130470	SRX1130460	SRX1130468	SRX4081212	SRX2349198	ERX3988309	SRX3154228	ERX3503483	SRX4520756	SRX1130452	SRX546033	SRX1735461	SRX666570	SRX1130496	SRX1130501	SRX5492850	SRX3154230	SRX1130459	SRX9029128	SRX666579	SRX807046	SRX4081213	SRX1735462	SRX546015	ERX3988323	ERX3988325	SRX546024	SRX1130506	SRX1130471	SRX1100709	SRX1130451	SRX1130504	SRX4520757	ERX3988322	SRX666577	SRX1130455	SRX2349197	SRX666576	SRX157655	SRX546017	SRX666574	SRX3154229	SRX1130491	SRX1130500	SRX1130462	SRX3367920	ERX3988312	SRX1130507	SRX1130464	SRX1130503	SRX1093014	SRX1130461	SRX1130467	ERX3503481	SRX1100710	SRX1735466	SRX3154227	SRX1735465	SRX1130463	SRX7649168	SRX8564783	SRX1130466	SRX7421974	SRX7649167	ERX3988320	SRX1130458	SRX546026	SRX1130469	SRX1130453	ERX3988310	SRX1130505	SRX1130499	SRX546025	SRX9029119	SRX1093013	SRX546034	SRX2349196	SRX2349199	SRX7649166	SRX326627	SRX1130489	SRX1093011
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	6.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	7.0	10.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	10.0	0.0	0.0	5.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	291.0	29.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	11.0	7.0	22.0	0.0	0.0	0.0	1.0	1.0	46.0	6.0	0.0	0.0	0.0	1.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	1.0	10.0	13.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	2.0	0.0	13.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	7.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0	20.0	0.0	0.0	0.0	18.0	31.0	0.0	15.0	0.0	0.0	28.0	0.0	27.0	16.0	0.0	0.0	0.0	12.0	606.0	29.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	12.0	31.0	0.0	13.0	8.0	26.0	0.0	0.0	0.0	1.0	2.0	48.0	6.0	9.0	0.0	2.0	1.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	10.0	0.0	3.0	10.0	17.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	123.0	1.0	0.0	7.0	1.0	0.0	0.0	8.0	0.0	7.0	48.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	24.0	0.0	36.0	4.0	20.0	0.0	0.0	0.0	57.0	32.0	0.0	22.0	0.0	0.0	31.0	0.0	27.0	16.0	0.0	0.0	0.0	13.0	995.0	51.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	15.0	31.0	0.0	19.0	10.0	26.0	0.0	0.0	4.0	2.0	5.0	51.0	6.0	9.0	0.0	2.0	2.0	62.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	10.0	0.0	4.0	11.0	20.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5.0	0.0	198.0	2.0	0.0	9.0	1.0	1.0	0.0	8.0	0.0	8.0	49.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	24.0	0.0	39.0	4.0	20.0	0.0	0.0	0.0	57.0	32.0	0.0	45.0	0.0	0.0	32.0	0.0	27.0	23.0	0.0	1.0	0.0	20.0	2172.0	51.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	102.0	31.0	0.0	80.0	11.0	29.0	3.0	0.0	4.0	7.0	15.0	54.0	6.0	9.0	0.0	2.0	18.0	62.0	1.0	0.0	1.0	0.0	5.0	1.0	90.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	55.0	10.0	1.0	17.0	14.0	22.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	11.0	0.0	403.0	5.0	0.0	18.0	6.0	3.0	0.0	8.0	0.0	48.0	50.0	0.0	18.0	0.0	2.0	4.0	0.0	0.0	1.0	28.0	1.0	43.0	4.0	20.0	0.0	0.0	0.0	57.0	32.0	0.0	71.0	0.0	0.0	35.0	0.0	27.0	40.0	0.0	1.0	13.0	38.0	4549.0	51.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	140.0	31.0	0.0	110.0	27.0	33.0	5.0	0.0	4.0	13.0	72.0	64.0	6.0	9.0	0.0	9.0	50.0	70.0	3.0	0.0	2.0	0.0	8.0	5.0	156.0	0.0	0.0	0.0	7.0	0.0	0.0	4.0	204.0	15.0	3.0	111.0	47.0	46.0	103.0	0.0	0.0	2.0	0.0	0.0	0.0	30.0	17.0	0.0	898.0	17.0	0.0	114.0	10.0	7.0	0.0	8.0	0.0	77.0	53.0	0.0	18.0	0.0	3.0	4.0	0.0	0.0	1.0	28.0	9.0	43.0	4.0	20.0	2.0	0.0	0.0	57.0	44.0	0.0	204.0	0.0	0.0	46.0	0.0	27.0	118.0	0.0	1.0	20.0	119.0	7019.0	51.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	1224.0	31.0	0.0	818.0	31.0	42.0	19.0	0.0	4.0	44.0	119.0	74.0	6.0	9.0	0.0	9.0	96.0	88.0	13.0	0.0	2.0	0.0	16.0	7.0	327.0	0.0	0.0	0.0	12.0	0.0	0.0	5.0	272.0	15.0	3.0	182.0	61.0	63.0	200.0	0.0	0.0	16.0	0.0	0.0	0.0	35.0	26.0	0.0	1499.0	28.0	0.0	187.0	20.0	9.0	0.0	8.0	0.0	575.0	69.0	0.0	18.0	0.0	4.0	4.0	0.0	0.0	9.0	30.0	13.0	49.0	8.0	41.0	2.0	0.0	0.0	57.0	55.0	0.0	320.0	0.0	0.0	62.0	0.0	27.0	242.0	0.0	1.0	58.0	204.0	11986.0	51.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	10.0	1409.0	95.0	0.0	975.0	39.0	46.0	25.0	0.0	5.0	49.0	141.0	77.0	8.0	25.0	0.0	9.0	149.0	92.0	15.0	0.0	5.0	0.0	20.0	8.0	430.0	0.0	0.0	0.0	16.0	0.0	2.0	5.0	274.0	15.0	6.0	199.0	67.0	68.0	342.0	0.0	0.0	28.0	4.0	0.0	8.0	45.0	42.0	0.0	1550.0	47.0	0.0	206.0	23.0	11.0	1.0	25.0	4.0	708.0	97.0	0.0	66.0	0.0	4.0	9.0	0.0	0.0	13.0	34.0	13.0	59.0	8.0	120.0	41.0	0.0	0.0	96.0	60.0	0.0	392.0	0.0	0.0	79.0	0.0	27.0	395.0	1.0	1.0	71.0	400.0	12835.0	80.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	10.0	1454.0	145.0	0.0	1035.0	45.0	51.0	34.0	0.0	5.0	54.0	148.0	83.0	8.0	25.0	0.0	9.0	168.0	98.0	15.0	0.0	8.0	0.0	22.0	8.0	456.0	0.0	0.0	0.0	18.0	0.0	2.0	5.0	274.0	15.0	8.0	214.0	72.0	72.0	369.0	0.0	0.0	35.0	4.0	0.0	10.0	47.0	43.0	0.0	1596.0	50.0	0.0	224.0	24.0	13.0	1.0	25.0	4.0	746.0	103.0	0.0	66.0	0.0	4.0	9.0	0.0	0.0	15.0	37.0	13.0	67.0	8.0	137.0	43.0	0.0	0.0	141.0	64.0	0.0	468.0	0.0	0.0	85.0	0.0	27.0	424.0	1.0	1.0	75.0	430.0	14661.0	125.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	10.0	1476.0	145.0	0.0	1075.0	47.0	57.0	35.0	0.0	5.0	58.0	155.0	91.0	8.0	25.0	0.0	9.0	175.0	107.0	15.0	0.0	11.0	0.0	23.0	8.0	463.0	0.0	0.0	0.0	18.0	0.0	2.0	5.0	278.0	15.0	8.0	221.0	75.0	78.0	402.0	0.0	0.0	39.0	4.0	0.0	12.0	49.0	44.0	0.0	1642.0	54.0	0.0	242.0	25.0	15.0	1.0	25.0	4.0	770.0	112.0	0.0	66.0	0.0	4.0	9.0	0.0	0.0	16.0	40.0	13.0	72.0	8.0	169.0	45.0	0.0	0.0	167.0	65.0	0.0	506.0	0.0	0.0	89.0	0.0	27.0	461.0	1.0	1.0	80.0	443.0	17680.0	125.0	0.0	0.0	1.0
12	0.0	0.0	0.0	59.0	21.0	1535.0	145.0	575.0	1113.0	49.0	59.0	39.0	5.0	131.0	61.0	171.0	106.0	187.0	171.0	98.0	9.0	221.0	116.0	18.0	0.0	13.0	0.0	27.0	10.0	496.0	0.0	0.0	0.0	19.0	247.0	3.0	6.0	290.0	15.0	8.0	245.0	84.0	86.0	439.0	405.0	1.0	47.0	68.0	10.0	12.0	52.0	49.0	0.0	1798.0	55.0	0.0	259.0	30.0	18.0	292.0	542.0	24.0	818.0	119.0	22.0	320.0	18.0	4.0	171.0	7.0	0.0	19.0	41.0	13.0	80.0	31.0	169.0	753.0	26.0	0.0	167.0	70.0	0.0	543.0	170.0	86.0	94.0	280.0	160.0	506.0	7.0	2.0	96.0	495.0	20420.0	125.0	0.0	142.0	1.0
13	0.0	0.0	0.0	59.0	21.0	1552.0	145.0	576.0	1131.0	51.0	60.0	72.0	6.0	131.0	80.0	205.0	110.0	205.0	181.0	105.0	9.0	289.0	121.0	36.0	0.0	13.0	0.0	64.0	11.0	527.0	0.0	0.0	0.0	20.0	259.0	3.0	6.0	523.0	15.0	8.0	282.0	87.0	90.0	464.0	411.0	1.0	48.0	73.0	10.0	12.0	56.0	57.0	0.0	2182.0	66.0	0.0	297.0	77.0	19.0	306.0	542.0	24.0	833.0	130.0	22.0	340.0	18.0	5.0	171.0	7.0	0.0	20.0	42.0	15.0	83.0	31.0	169.0	758.0	26.0	0.0	183.0	70.0	0.0	558.0	170.0	86.0	97.0	280.0	170.0	538.0	7.0	2.0	196.0	667.0	22479.0	125.0	0.0	145.0	1.0
14	0.0	0.0	0.0	59.0	21.0	1672.0	145.0	590.0	1262.0	53.0	61.0	72.0	6.0	134.0	81.0	208.0	112.0	213.0	181.0	110.0	9.0	293.0	123.0	37.0	0.0	13.0	0.0	65.0	12.0	527.0	0.0	0.0	0.0	23.0	270.0	3.0	8.0	523.0	15.0	9.0	287.0	88.0	91.0	491.0	411.0	1.0	50.0	80.0	10.0	12.0	57.0	57.0	0.0	2358.0	66.0	0.0	303.0	77.0	19.0	306.0	565.0	24.0	1023.0	136.0	22.0	351.0	21.0	6.0	171.0	7.0	0.0	21.0	42.0	15.0	84.0	31.0	169.0	759.0	26.0	0.0	183.0	75.0	1.0	593.0	183.0	86.0	101.0	280.0	177.0	562.0	7.0	2.0	197.0	681.0	23631.0	125.0	0.0	145.0	1.0
15	0.0	0.0	0.0	59.0	21.0	1680.0	145.0	590.0	1264.0	54.0	61.0	72.0	6.0	134.0	82.0	208.0	117.0	213.0	181.0	110.0	9.0	297.0	126.0	37.0	0.0	14.0	0.0	67.0	12.0	527.0	0.0	0.0	0.0	23.0	270.0	3.0	8.0	523.0	15.0	10.0	291.0	89.0	92.0	497.0	411.0	1.0	50.0	80.0	10.0	12.0	58.0	57.0	0.0	2378.0	66.0	0.0	303.0	77.0	19.0	306.0	565.0	24.0	1025.0	137.0	22.0	351.0	21.0	6.0	171.0	7.0	0.0	22.0	42.0	15.0	88.0	31.0	169.0	760.0	26.0	0.0	183.0	75.0	1.0	595.0	183.0	86.0	102.0	280.0	177.0	576.0	7.0	3.0	197.0	690.0	24764.0	125.0	0.0	145.0	1.0
