gene	SRX6979813	SRX6979736	SRX6979634	SRX6979643	SRX6979789	SRX6980129	SRX6979581	SRX6979628	SRX6979631	SRX6979727	SRX6979837	SRX6979608	SRX6979816	SRX6979825	SRX6979766	SRX6979778	SRX6979885	SRX6979745	SRX6979849	SRX6979563	SRX6979533	SRX6979965	SRX6979882	SRX6979852	SRX6979971	SRX6980260	SRX6979760	SRX6980079	SRX6979968	SRX6979593	SRX6980089	SRX6980224	SRX6979798	SRX6980233	SRX6979751	SRX6979733	SRX6979730	SRX6979775	SRX6979697	SRX6979781	SRX6980263	SRX6980132	SRX6979536	SRX6979521	SRX6979667	SRX6980257	SRX6979879	SRX6979613	SRX6979956	SRX6979962	SRX6979685
1	0.0	3.076923076923077	0.0	3.0927835051546393	0.0	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1739130434782608	0.0	0.0	0.0	1.4705882352941178	0.0	0.0	5.555555555555555	0.0	0.0	0.0	1.5748031496062993	0.5025125628140703	0.0	0.0	0.0	4.166666666666667	0.0	0.0	0.0	0.6060606060606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	3.076923076923077	0.0	3.0927835051546393	0.0	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3478260869565215	0.0	0.0	0.0	1.4705882352941178	0.0	0.0	8.333333333333334	0.0	0.0	0.0	1.5748031496062993	0.5025125628140703	0.0	0.0	0.0	4.166666666666667	0.0	0.0	0.0	0.6060606060606061	9.67741935483871	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	3.076923076923077	0.0	3.0927835051546393	0.8333333333333334	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	2.4390243902439024	0.0	0.0	4.3478260869565215	0.0	0.0	0.0	1.4705882352941178	0.0	0.0	8.333333333333334	0.0	0.0	0.0	1.5748031496062993	1.0050251256281406	0.0	0.0	5.0	4.166666666666667	0.0	0.0	0.0	1.8181818181818181	9.67741935483871	0.0	0.0	0.0	0.0	0.0	1.2345679012345678	0.0
4	2.857142857142857	6.153846153846154	0.0	3.0927835051546393	1.6666666666666667	1.5625	0.0	4.545454545454546	5.555555555555555	8.0	0.0	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	2.4390243902439024	5.882352941176471	3.508771929824561	4.3478260869565215	0.0	0.0	0.0	2.9411764705882355	0.0	3.6144578313253013	8.333333333333334	0.0	0.0	0.0	1.5748031496062993	1.0050251256281406	0.0	4.761904761904762	5.0	4.166666666666667	0.0	0.0	2.9411764705882355	3.6363636363636362	9.67741935483871	0.0	0.0	3.7735849056603774	0.0	0.9174311926605505	2.4691358024691357	0.0
5	2.857142857142857	6.153846153846154	4.0	4.123711340206185	1.6666666666666667	1.5625	0.0	4.545454545454546	5.555555555555555	8.0	0.0	0.0	0.0	2.0833333333333335	10.714285714285714	0.0	0.0	0.0	0.0	2.4390243902439024	5.882352941176471	5.2631578947368425	4.3478260869565215	0.0	0.0	0.0	2.9411764705882355	0.0	4.819277108433735	8.333333333333334	0.0	0.0	2.4390243902439024	1.5748031496062993	1.5075376884422111	0.0	14.285714285714286	5.0	4.166666666666667	0.0	4.0	2.9411764705882355	5.454545454545454	9.67741935483871	0.0	0.0	3.7735849056603774	6.25	0.9174311926605505	4.938271604938271	0.0
6	2.857142857142857	6.153846153846154	4.0	4.123711340206185	1.6666666666666667	1.5625	7.6923076923076925	4.545454545454546	5.555555555555555	8.0	0.0	0.0	0.0	2.0833333333333335	14.285714285714286	0.0	0.0	0.0	4.0	2.4390243902439024	5.882352941176471	5.2631578947368425	4.3478260869565215	0.0	0.0	0.0	2.9411764705882355	0.0	7.228915662650603	8.333333333333334	0.0	0.0	2.4390243902439024	1.5748031496062993	2.512562814070352	0.0	14.285714285714286	10.0	4.166666666666667	0.0	4.0	2.9411764705882355	5.454545454545454	9.67741935483871	9.090909090909092	0.0	7.547169811320755	6.25	2.7522935779816513	4.938271604938271	0.0
7	2.857142857142857	12.307692307692308	8.0	6.185567010309279	1.6666666666666667	1.5625	11.538461538461538	4.545454545454546	5.555555555555555	20.0	0.0	0.0	0.0	2.0833333333333335	14.285714285714286	1.8518518518518519	0.0	2.0408163265306123	4.0	4.878048780487805	5.882352941176471	5.2631578947368425	4.3478260869565215	4.545454545454546	4.3478260869565215	0.0	2.9411764705882355	0.0	8.433734939759036	8.333333333333334	0.0	0.0	2.4390243902439024	1.5748031496062993	2.512562814070352	0.0	14.285714285714286	10.0	4.166666666666667	2.857142857142857	4.0	2.9411764705882355	9.090909090909092	9.67741935483871	9.090909090909092	0.0	7.547169811320755	6.25	2.7522935779816513	6.172839506172839	0.0
8	2.857142857142857	12.307692307692308	8.0	6.185567010309279	1.6666666666666667	1.5625	11.538461538461538	4.545454545454546	5.555555555555555	20.0	0.0	0.0	0.0	4.166666666666667	17.857142857142858	1.8518518518518519	0.0	6.122448979591836	4.0	4.878048780487805	5.882352941176471	8.771929824561404	4.3478260869565215	4.545454545454546	4.3478260869565215	0.0	2.9411764705882355	3.3333333333333335	9.63855421686747	13.88888888888889	0.0	0.0	2.4390243902439024	2.3622047244094486	3.5175879396984926	0.0	14.285714285714286	10.0	4.166666666666667	2.857142857142857	4.0	2.9411764705882355	10.303030303030303	9.67741935483871	9.090909090909092	0.0	7.547169811320755	6.25	2.7522935779816513	6.172839506172839	0.0
9	2.857142857142857	13.846153846153847	8.0	7.216494845360825	1.6666666666666667	1.5625	11.538461538461538	4.545454545454546	5.555555555555555	24.0	0.0	0.0	0.0	6.25	17.857142857142858	1.8518518518518519	0.0	6.122448979591836	4.0	7.317073170731708	11.764705882352942	8.771929824561404	8.695652173913043	4.545454545454546	4.3478260869565215	0.0	2.9411764705882355	3.3333333333333335	10.843373493975903	13.88888888888889	0.0	0.0	2.4390243902439024	2.3622047244094486	4.522613065326633	0.0	14.285714285714286	10.0	4.166666666666667	2.857142857142857	4.0	2.9411764705882355	10.303030303030303	9.67741935483871	9.090909090909092	0.0	7.547169811320755	6.25	2.7522935779816513	6.172839506172839	0.0
10	2.857142857142857	13.846153846153847	8.0	7.216494845360825	1.6666666666666667	1.5625	11.538461538461538	4.545454545454546	5.555555555555555	24.0	0.0	6.25	0.0	6.25	17.857142857142858	1.8518518518518519	0.0	6.122448979591836	4.0	7.317073170731708	11.764705882352942	8.771929824561404	8.695652173913043	4.545454545454546	4.3478260869565215	0.0	2.9411764705882355	3.3333333333333335	12.048192771084338	13.88888888888889	2.127659574468085	0.0	2.4390243902439024	2.3622047244094486	5.025125628140704	0.0	19.047619047619047	10.0	4.166666666666667	2.857142857142857	4.0	2.9411764705882355	10.303030303030303	9.67741935483871	9.090909090909092	0.0	7.547169811320755	6.25	3.669724770642202	6.172839506172839	0.0
