gene	SRX6979700	SRX6979849	SRX6980014	SRX6979775	SRX6980266	SRX6979625	SRX6979822	SRX6979563	SRX6979781	SRX6979757	SRX6979706	SRX6980203	SRX6979819	SRX6980218	SRX6980181	SRX6979852	SRX6979652	SRX6979733	SRX6979727	SRX6979691	SRX6979816	SRX6979876	SRX6979834	SRX6979649	SRX6980290	SRX6979548	SRX6979864	SRX6980039	SRX6979554	SRX6979786	SRX6979631	SRX6979855	SRX6979745	SRX6979622	SRX6979688	SRX6979778	SRX6979560	SRX6979798	SRX6980299	SRX6979772	SRX6980269	SRX6979795	SRX6979867	SRX6979566	SRX6979846	SRX6979879	SRX6979807	SRX6980245	SRX6979754	SRX6979599	SRX6980153	SRX6979840	SRX6979882	SRX6979736	SRX6980221	SRX6979763
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5154639175257731	0.0	0.0	0.0	2.985074626865672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.333333333333334	0.0	0.0	0.5154639175257731	0.0	0.0	0.0	2.985074626865672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.333333333333334	0.0	0.0	1.0309278350515463	0.0	0.0	0.0	2.985074626865672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.8695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	3.125	0.0	0.0	0.0	8.823529411764707	0.0	0.0	0.0	0.0	0.0	2.5316455696202533	0.0	0.0	12.5	0.47393364928909953	0.0	1.0309278350515463	0.0	0.0	0.0	2.985074626865672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.793103448275861	0.0	0.0	2.6315789473684212	2.9411764705882355	0.0	0.0	0.0	0.0
9	11.538461538461538	18.181818181818183	4.545454545454546	0.0	7.826086956521739	11.764705882352942	18.51851851851852	6.896551724137931	12.5	0.0	1.6666666666666667	9.375	8.333333333333334	24.242424242424242	8.620689655172415	8.823529411764707	21.428571428571427	14.285714285714286	14.814814814814815	10.714285714285714	20.0	17.72151898734177	9.523809523809524	8.333333333333334	25.0	8.530805687203792	13.157894736842104	12.371134020618557	25.0	9.523809523809524	4.761904761904762	8.955223880597014	11.627906976744185	15.0	2.7027027027027026	14.285714285714286	0.0	21.428571428571427	23.076923076923077	21.428571428571427	8.108108108108109	9.523809523809524	0.0	4.3478260869565215	4.761904761904762	4.651162790697675	33.333333333333336	24.137931034482758	13.636363636363637	0.0	15.789473684210526	8.823529411764707	8.333333333333334	5.0	0.0	5.2631578947368425
10	15.384615384615385	18.181818181818183	13.636363636363637	8.695652173913043	18.26086956521739	14.705882352941176	25.925925925925927	37.93103448275862	29.166666666666668	4.761904761904762	8.333333333333334	25.0	13.88888888888889	30.303030303030305	15.517241379310345	26.470588235294116	35.714285714285715	14.285714285714286	25.925925925925927	17.857142857142858	20.0	22.78481012658228	23.80952380952381	25.0	37.5	17.061611374407583	28.94736842105263	19.587628865979383	30.0	19.047619047619047	42.857142857142854	13.432835820895523	16.27906976744186	15.0	8.108108108108109	25.0	20.833333333333332	37.755102040816325	23.076923076923077	32.142857142857146	14.864864864864865	9.523809523809524	13.043478260869565	39.130434782608695	28.571428571428573	9.30232558139535	48.148148148148145	31.03448275862069	50.0	0.0	21.05263157894737	29.41176470588235	11.11111111111111	5.0	10.0	13.157894736842104
