gene	SRX6979849	SRX6979775	SRX6979685	SRX6979613	SRX6979563	SRX6980129	SRX6979593	SRX6979781	SRX6980260	SRX6979825	SRX6980257	SRX6979581	SRX6980224	SRX6979852	SRX6979533	SRX6979628	SRX6979733	SRX6979634	SRX6979608	SRX6979727	SRX6979816	SRX6979885	SRX6980132	SRX6979760	SRX6980079	SRX6980233	SRX6979968	SRX6979730	SRX6979697	SRX6979813	SRX6979667	SRX6979766	SRX6979789	SRX6979631	SRX6979745	SRX6979521	SRX6979837	SRX6979956	SRX6980263	SRX6979778	SRX6979536	SRX6979751	SRX6979798	SRX6979879	SRX6979971	SRX6979643	SRX6979965	SRX6980089	SRX6979962	SRX6979882	SRX6979736
1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0
2	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	2.0
3	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	2.0
4	0.0	1.0	0.0	0.0	2.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	2.0	3.0	1.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	6.0	2.0	0.0	2.0	0.0	3.0	2.0	0.0	2.0	2.0	4.0
5	0.0	1.0	0.0	2.0	2.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	2.0	0.0	3.0	0.0	1.0	1.0	0.0	9.0	3.0	1.0	2.0	0.0	4.0	3.0	0.0	4.0	2.0	4.0
6	1.0	2.0	0.0	2.0	2.0	1.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	2.0	6.0	3.0	1.0	1.0	3.0	4.0	2.0	2.0	0.0	3.0	0.0	3.0	1.0	0.0	9.0	5.0	1.0	4.0	0.0	4.0	3.0	0.0	4.0	2.0	4.0
7	1.0	2.0	0.0	2.0	4.0	1.0	3.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	2.0	1.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	2.0	7.0	3.0	1.0	1.0	3.0	4.0	2.0	2.0	1.0	3.0	0.0	3.0	1.0	1.0	15.0	5.0	1.0	4.0	1.0	6.0	3.0	0.0	5.0	2.0	8.0
8	1.0	2.0	0.0	2.0	4.0	1.0	5.0	1.0	0.0	2.0	0.0	3.0	0.0	1.0	2.0	1.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	2.0	1.0	3.0	8.0	3.0	1.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	0.0	3.0	1.0	1.0	17.0	7.0	1.0	4.0	1.0	6.0	5.0	0.0	5.0	2.0	8.0
9	1.0	2.0	0.0	2.0	6.0	1.0	5.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	4.0	1.0	0.0	2.0	0.0	6.0	0.0	0.0	1.0	2.0	1.0	3.0	9.0	3.0	1.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	0.0	3.0	1.0	1.0	17.0	9.0	1.0	4.0	1.0	7.0	5.0	0.0	5.0	4.0	9.0
10	1.0	2.0	0.0	2.0	6.0	1.0	5.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	4.0	1.0	0.0	2.0	2.0	6.0	0.0	0.0	1.0	2.0	1.0	3.0	10.0	4.0	1.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	0.0	4.0	1.0	1.0	17.0	10.0	1.0	4.0	1.0	7.0	5.0	1.0	5.0	4.0	9.0
