gene	SRX6979849	SRX6979775	SRX6979685	SRX6979613	SRX6979563	SRX6980129	SRX6979593	SRX6979781	SRX6980260	SRX6979825	SRX6980257	SRX6979581	SRX6980224	SRX6979852	SRX6979533	SRX6979628	SRX6979733	SRX6979634	SRX6979608	SRX6979727	SRX6979816	SRX6979885	SRX6980132	SRX6979760	SRX6980079	SRX6980233	SRX6979968	SRX6979730	SRX6979697	SRX6979813	SRX6979667	SRX6979766	SRX6979789	SRX6979631	SRX6979745	SRX6979521	SRX6979837	SRX6979956	SRX6980263	SRX6979778	SRX6979536	SRX6979751	SRX6979798	SRX6979879	SRX6979971	SRX6979643	SRX6979965	SRX6980089	SRX6979962	SRX6979882	SRX6979736
1	0.0	0.0	0.0	0.0	0.0	0.0	5.555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4705882352941178	0.0	1.5748031496062993	0.0	0.0	4.166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6060606060606061	0.5025125628140703	0.0	0.0	0.0	3.0927835051546393	0.0	0.0	0.0	2.1739130434782608	3.076923076923077
2	0.0	0.0	0.0	0.0	0.0	0.0	8.333333333333334	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4705882352941178	0.0	1.5748031496062993	0.0	0.0	4.166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	9.67741935483871	0.0	0.0	0.0	0.0	0.6060606060606061	0.5025125628140703	0.0	0.0	0.0	3.0927835051546393	0.0	0.0	0.0	4.3478260869565215	3.076923076923077
3	0.0	5.0	0.0	0.0	2.4390243902439024	0.0	8.333333333333334	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	4.545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4705882352941178	0.0	1.5748031496062993	0.0	0.0	4.166666666666667	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	9.67741935483871	0.0	0.0	0.0	0.0	1.8181818181818181	1.0050251256281406	0.0	0.0	0.0	3.0927835051546393	0.0	0.0	1.2345679012345678	4.3478260869565215	3.076923076923077
4	0.0	5.0	0.0	0.0	2.4390243902439024	1.5625	8.333333333333334	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	5.882352941176471	4.545454545454546	0.0	0.0	0.0	8.0	0.0	0.0	2.9411764705882355	2.9411764705882355	0.0	1.5748031496062993	3.6144578313253013	4.761904761904762	4.166666666666667	2.857142857142857	0.0	0.0	1.6666666666666667	5.555555555555555	0.0	9.67741935483871	0.0	0.9174311926605505	0.0	0.0	3.6363636363636362	1.0050251256281406	0.0	3.7735849056603774	0.0	3.0927835051546393	3.508771929824561	0.0	2.4691358024691357	4.3478260869565215	6.153846153846154
5	0.0	5.0	0.0	6.25	2.4390243902439024	1.5625	8.333333333333334	0.0	0.0	2.0833333333333335	0.0	0.0	0.0	0.0	5.882352941176471	4.545454545454546	0.0	4.0	0.0	8.0	0.0	0.0	2.9411764705882355	2.9411764705882355	0.0	1.5748031496062993	4.819277108433735	14.285714285714286	4.166666666666667	2.857142857142857	0.0	10.714285714285714	1.6666666666666667	5.555555555555555	0.0	9.67741935483871	0.0	0.9174311926605505	4.0	0.0	5.454545454545454	1.5075376884422111	2.4390243902439024	3.7735849056603774	0.0	4.123711340206185	5.2631578947368425	0.0	4.938271604938271	4.3478260869565215	6.153846153846154
6	4.0	10.0	0.0	6.25	2.4390243902439024	1.5625	8.333333333333334	0.0	0.0	2.0833333333333335	0.0	7.6923076923076925	0.0	0.0	5.882352941176471	4.545454545454546	0.0	4.0	0.0	8.0	0.0	0.0	2.9411764705882355	2.9411764705882355	0.0	1.5748031496062993	7.228915662650603	14.285714285714286	4.166666666666667	2.857142857142857	9.090909090909092	14.285714285714286	1.6666666666666667	5.555555555555555	0.0	9.67741935483871	0.0	2.7522935779816513	4.0	0.0	5.454545454545454	2.512562814070352	2.4390243902439024	7.547169811320755	0.0	4.123711340206185	5.2631578947368425	0.0	4.938271604938271	4.3478260869565215	6.153846153846154
7	4.0	10.0	0.0	6.25	4.878048780487805	1.5625	8.333333333333334	2.857142857142857	0.0	2.0833333333333335	0.0	11.538461538461538	0.0	4.545454545454546	5.882352941176471	4.545454545454546	0.0	8.0	0.0	20.0	0.0	0.0	2.9411764705882355	2.9411764705882355	0.0	1.5748031496062993	8.433734939759036	14.285714285714286	4.166666666666667	2.857142857142857	9.090909090909092	14.285714285714286	1.6666666666666667	5.555555555555555	2.0408163265306123	9.67741935483871	0.0	2.7522935779816513	4.0	1.8518518518518519	9.090909090909092	2.512562814070352	2.4390243902439024	7.547169811320755	4.3478260869565215	6.185567010309279	5.2631578947368425	0.0	6.172839506172839	4.3478260869565215	12.307692307692308
8	4.0	10.0	0.0	6.25	4.878048780487805	1.5625	13.88888888888889	2.857142857142857	0.0	4.166666666666667	0.0	11.538461538461538	0.0	4.545454545454546	5.882352941176471	4.545454545454546	0.0	8.0	0.0	20.0	0.0	0.0	2.9411764705882355	2.9411764705882355	3.3333333333333335	2.3622047244094486	9.63855421686747	14.285714285714286	4.166666666666667	2.857142857142857	9.090909090909092	17.857142857142858	1.6666666666666667	5.555555555555555	6.122448979591836	9.67741935483871	0.0	2.7522935779816513	4.0	1.8518518518518519	10.303030303030303	3.5175879396984926	2.4390243902439024	7.547169811320755	4.3478260869565215	6.185567010309279	8.771929824561404	0.0	6.172839506172839	4.3478260869565215	12.307692307692308
9	4.0	10.0	0.0	6.25	7.317073170731708	1.5625	13.88888888888889	2.857142857142857	0.0	6.25	0.0	11.538461538461538	0.0	4.545454545454546	11.764705882352942	4.545454545454546	0.0	8.0	0.0	24.0	0.0	0.0	2.9411764705882355	2.9411764705882355	3.3333333333333335	2.3622047244094486	10.843373493975903	14.285714285714286	4.166666666666667	2.857142857142857	9.090909090909092	17.857142857142858	1.6666666666666667	5.555555555555555	6.122448979591836	9.67741935483871	0.0	2.7522935779816513	4.0	1.8518518518518519	10.303030303030303	4.522613065326633	2.4390243902439024	7.547169811320755	4.3478260869565215	7.216494845360825	8.771929824561404	0.0	6.172839506172839	8.695652173913043	13.846153846153847
10	4.0	10.0	0.0	6.25	7.317073170731708	1.5625	13.88888888888889	2.857142857142857	0.0	6.25	0.0	11.538461538461538	0.0	4.545454545454546	11.764705882352942	4.545454545454546	0.0	8.0	6.25	24.0	0.0	0.0	2.9411764705882355	2.9411764705882355	3.3333333333333335	2.3622047244094486	12.048192771084338	19.047619047619047	4.166666666666667	2.857142857142857	9.090909090909092	17.857142857142858	1.6666666666666667	5.555555555555555	6.122448979591836	9.67741935483871	0.0	3.669724770642202	4.0	1.8518518518518519	10.303030303030303	5.025125628140704	2.4390243902439024	7.547169811320755	4.3478260869565215	7.216494845360825	8.771929824561404	2.127659574468085	6.172839506172839	8.695652173913043	13.846153846153847
